Year,Country,Drought,Extreme temperature,Flood,Landslide,Storm,Total Disasters,Wildfire,Sea Level,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating,Temperature
1998,24,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-6.816666666666666,1576.2567,19070.6,98.92827168,98.87082391,51089.0,37.32819198,101.14,109.0296546,4008.4,25145.98,880.74,334.39,0.0,5409.75,11.95,30.54,0.24,11169.05,4746.41,1.424
1999,24,1.0,0.0,6.0,0.0,0.0,4.0,0.0,3.269696969696969,1573.4107,19034.3,98.74965238,98.6826279,51089.0,37.2571395,102.08,108.8529602,4030.33,25104.1,882.5,335.87,0.0,5336.65,11.96,30.5,0.24,11180.71,4823.6,0.409
2000,24,0.0,0.0,4.0,0.0,1.0,6.0,0.0,12.45735294117647,1570.5647,18998.0,98.57103308,98.49443189,51089.0,37.18608702,103.45,108.7644987,4039.92,25082.27,891.45,338.55,0.0,5337.13,11.96,30.47,0.24,11149.89,4853.26,0.042
2001,24,0.0,0.0,5.0,0.0,1.0,6.0,0.0,14.317605633802817,1580.0539,19105.5,99.16658973,99.05176168,51089.0,37.39650414,111.92,108.7754677,4052.54,25076.34,893.57,339.34,0.0,5363.83,12.11,30.89,0.23,11080.53,4877.29,0.628
2002,24,1.0,0.0,2.0,1.0,2.0,3.0,0.0,-3.424642857142857,1589.5431,19213.0,99.76214638,99.60909147,51089.0,37.60692126,120.54,108.6566646,4065.97,25040.2,892.12,340.43,0.0,5409.65,12.44,30.88,0.23,10997.21,4928.9,0.631
2003,24,0.0,0.0,3.0,0.0,1.0,5.0,0.0,7.309448275862068,1599.0323,19320.5,100.357703,100.1664213,51089.0,37.81733837,131.75,108.4612551,4068.25,24983.76,890.25,342.63,0.0,5385.73,12.49,30.88,0.23,11009.91,4982.73,0.771
2004,24,0.0,0.0,3.0,1.0,2.0,6.0,0.0,5.524055944055944,1608.5215,19428.0,100.9532597,100.7237511,51089.0,38.02775549,141.91,108.728654,4081.32,25035.5,887.77,343.44,0.0,5355.91,12.88,30.86,0.23,10979.95,4968.8,0.515
2005,24,1.0,0.0,2.0,0.0,2.0,1.0,1.0,8.820692307692308,1618.0107,19535.5,101.5488163,101.2810809,51089.0,38.2381726,157.0,108.5181506,4081.71,24971.68,884.96,344.65,0.0,5346.36,12.94,30.84,0.22,10986.08,5022.16,0.859
2006,24,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0113888888888884,1627.4999,19643.0,102.144373,101.8384107,51089.0,38.44858972,168.22,108.0814224,4083.67,24859.34,884.7,346.71,0.0,5332.63,12.99,30.99,0.19,10995.83,5123.35,0.652
2007,24,0.0,0.0,5.0,0.0,0.0,4.0,0.0,9.591756756756755,1636.9892,19750.5,102.7399359,102.3957404,51089.0,38.65900683,179.74,107.6104854,4088.12,24738.74,881.82,348.95,0.0,5309.58,13.09,31.03,0.18,11008.68,5238.63,0.523
2008,24,1.0,0.0,3.0,0.0,2.0,2.0,0.0,46.70841121495327,1646.4784,19858.0,103.3354925,102.9530702,51089.0,38.86942395,190.82,106.5339983,4091.12,24478.42,880.27,351.14,0.0,5294.75,13.11,31.02,0.18,11018.75,5489.05,0.378
2009,24,0.0,0.0,1.0,0.0,0.0,3.0,0.0,31.80931972789116,1655.9676,19965.5,103.9310492,103.5104,51089.0,39.07984106,201.49,104.3834682,4093.77,23969.75,878.78,352.47,0.0,5287.35,13.14,31.02,0.18,11021.96,5988.68,0.493
2010,24,1.0,0.0,1.0,0.0,0.0,7.0,0.0,52.37966216216216,1665.4568,20073.0,104.5266058,104.0677298,51089.0,39.29025818,212.23,103.8219369,4097.33,23828.99,878.16,352.61,0.0,5280.78,13.3,31.09,0.18,11024.88,6119.06,1.293
2011,24,1.0,0.0,2.0,0.0,1.0,2.0,0.0,38.185753424657534,1665.7391,20070.6,104.5443234,104.0552871,51089.0,39.28556049,225.4,103.8205287,4101.39,23815.48,878.16,353.88,0.0,5252.06,13.21,31.16,0.17,11053.47,6114.2,0.247
2012,24,1.0,0.0,1.0,0.0,0.0,4.0,0.0,55.085072463768114,1666.0215,20068.2,104.5620473,104.0428444,51089.0,39.28086281,244.39,103.2409429,4103.34,23662.28,877.61,353.91,0.0,5243.35,13.21,31.15,0.13,11065.15,6244.06,0.908
2013,24,0.0,0.0,3.0,0.0,0.0,6.0,0.0,59.413603603603605,1666.3038,20065.8,104.5797648,104.0304017,51089.0,39.27616512,273.13,102.6565168,4104.59,23498.2,877.29,354.46,0.0,5238.86,13.15,31.16,0.12,11077.05,6370.55,1.109
2014,24,1.0,1.0,4.0,0.0,1.0,0.0,0.0,44.5125,1666.5862,20063.4,104.5974887,104.017959,51089.0,39.27146744,298.23,100.7796896,4097.93,23038.53,883.61,359.4,0.0,5213.83,12.88,31.39,0.11,11143.38,6759.34,0.692
2015,24,1.0,0.0,0.0,0.0,1.0,3.0,0.0,50.060810810810814,1666.8685,20061.0,104.6152063,104.0055163,51089.0,39.26676975,311.64,100.0,4098.76,22844.56,883.52,359.26,0.0,5213.79,12.88,31.36,0.11,11146.0,6936.72,1.202
2016,24,0.0,1.0,3.0,0.0,0.0,7.0,0.0,82.07135714285714,1663.2125,20017.0,104.3857501,103.7773999,51089.0,39.18064554,313.74,99.55845768,4084.07,22740.18,883.44,358.76,0.0,5182.86,12.85,31.09,0.11,11254.46,6976.96,1.462
2017,24,0.0,0.0,4.0,0.0,2.0,0.0,0.0,49.56676470588236,1660.0215,19981.0,104.1854781,103.5907592,51089.0,39.11018027,323.36,98.78422728,4081.18,22551.3,884.56,360.22,0.0,5185.24,12.56,30.99,0.11,11272.14,7136.91,1.044
2018,24,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.55283783783784,1657.0306,19945.0,103.9977647,103.4041185,51089.0,39.03971501,329.12,98.74253979,4085.25,22535.9,884.85,360.28,0.0,5187.81,14.35,31.14,0.11,11277.19,7132.6,0.813
2019,24,1.0,0.0,1.0,0.0,1.0,2.0,0.0,35.74743243243243,1653.8406,19909.0,103.7975554,103.2174779,51089.0,38.96924974,329.9,98.30075221,4087.62,22432.81,885.53,359.31,0.0,5156.91,14.41,31.47,0.11,11329.96,7210.55,1.714
2020,24,0.0,0.0,3.0,0.0,4.0,1.0,0.0,75.45082191780821,1650.8501,19873.0,103.6098671,103.0308372,51089.0,38.89878447,331.6,98.08983867,4088.63,22382.38,886.09,357.91,0.0,5147.2,14.49,31.54,0.11,11345.53,7253.35,1.475
1992,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.55625,147.1588,2813.2,100.0,100.0,24193.0,11.6281569,661.82,96.53303905,11867.67,6546.08,461.28,0.0,0.0,765.93,1461.98,499.17,64.77,1984.7,63.92,0.512
1993,25,0.0,0.0,2.0,0.0,0.0,3.0,0.0,-15.59705882352941,151.2882,2830.8,102.8060843,100.6256221,24193.0,11.70090522,681.77,96.62487314,11859.41,6532.99,461.09,0.0,0.0,765.02,1461.34,499.03,63.76,1987.49,65.43,-0.024
1994,25,0.0,0.0,2.0,0.0,0.0,4.0,0.0,-16.772058823529413,155.4176,2848.4,105.6121686,101.2512441,24193.0,11.77365354,701.05,96.70576485,11850.92,6519.75,460.91,0.0,0.0,764.29,1460.93,498.9,62.91,1990.39,67.28,0.406
1995,25,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.3958730158730157,159.547,2866.0,108.4182529,101.8768662,24193.0,11.84640185,718.02,97.82931576,11771.12,6586.67,461.86,0.0,0.0,765.27,1446.06,500.3,62.27,2002.5,63.25,1.114
1996,25,0.0,0.0,0.0,0.0,1.0,6.0,0.0,-20.64417910447761,163.6764,2883.6,111.2243372,102.5024883,24193.0,11.91915017,732.12,98.22181467,11735.35,6601.88,463.52,0.0,0.0,766.0,1437.8,501.71,61.86,2016.46,60.63,-0.146
1997,25,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.307575757575757,167.8058,2901.2,114.0304216,103.1281103,24193.0,11.99189848,742.49,98.86355069,11641.73,6639.43,466.48,0.0,0.0,768.72,1405.47,503.0,61.58,2089.01,59.43,0.877
1998,25,0.0,0.0,1.0,0.0,3.0,5.0,0.0,4.0651515151515145,171.9352,2918.8,116.8365059,103.7537324,24193.0,12.0646468,752.48,99.35898597,11605.37,6666.43,467.26,0.0,0.0,769.62,1400.7,503.88,61.31,2093.78,56.5,0.855
1999,25,0.0,0.0,1.0,0.0,2.0,1.0,0.0,-2.501515151515151,176.0646,2936.4,119.6425902,104.3793545,24193.0,12.13739511,762.33,99.93031711,11551.29,6699.24,468.01,0.0,0.0,773.76,1352.41,506.7,61.16,2144.69,57.74,1.126
2000,25,0.0,0.0,3.0,0.0,3.0,1.0,0.0,-4.894117647058825,180.194,2954.0,122.4486745,105.0049765,24193.0,12.21014343,771.63,100.1014343,11520.01,6702.72,468.63,0.0,0.0,777.57,1323.44,508.16,60.89,2184.97,59.32,0.714
2001,25,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.242857142857143,183.8935,2964.5,124.9626254,105.378217,24193.0,12.25354441,843.06,100.507098,11487.77,6661.58,466.41,0.0,0.0,773.83,1308.77,508.54,57.89,2209.37,60.12,0.622
2002,25,0.0,0.0,3.0,0.0,2.0,0.0,0.0,8.505281690140846,187.593,2975.0,127.4765763,105.7514574,24193.0,12.2969454,899.08,100.8340129,11456.48,6629.97,465.26,0.0,0.0,773.15,1305.65,507.85,56.47,2226.14,57.29,1.003
2003,25,0.0,1.0,0.0,0.0,0.0,4.0,0.0,27.955,191.2925,2985.5,129.9905272,106.1246979,24193.0,12.34034638,936.2,100.958606,11440.17,6602.15,463.79,0.0,0.0,772.57,1303.29,507.14,56.05,2238.8,57.17,1.185
2004,25,0.0,0.0,1.0,0.0,0.0,3.0,0.0,16.25923611111111,194.992,2996.0,132.5044782,106.4979383,24193.0,12.38374736,976.39,100.97954,11432.88,6563.52,462.96,0.0,0.0,770.71,1300.0,506.9,55.59,2253.1,55.27,1.026
2005,25,0.0,2.0,0.0,0.0,2.0,3.0,0.0,15.140230769230769,198.6915,3006.5,135.0184291,106.8711787,24193.0,12.42714835,978.51,100.8798572,11443.07,6553.96,462.6,0.0,0.0,769.61,1299.68,506.78,55.49,2253.86,53.77,1.108
2006,25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.88111111111111,202.391,3017.0,137.53238,107.2444192,24193.0,12.47054933,980.55,100.879095,11448.67,6551.86,462.15,0.0,0.0,769.6,1298.83,506.83,55.43,2255.02,48.38,1.241
2007,25,0.0,0.0,3.0,0.0,1.0,0.0,0.0,30.659864864864865,206.0905,3027.5,140.0463309,107.6176596,24193.0,12.51395032,982.3,100.6088309,11469.37,6529.93,461.49,0.0,0.0,768.49,1298.21,507.37,55.49,2255.31,49.36,1.327
2008,25,0.0,0.0,2.0,0.0,1.0,5.0,0.0,21.90177570093458,209.79,3038.0,142.5602818,107.9909,24193.0,12.5573513,985.91,100.2470537,11497.27,6499.31,460.69,0.0,0.0,766.81,1297.58,508.07,55.53,2256.37,49.79,0.829
2009,25,0.0,1.0,1.0,0.0,1.0,5.0,0.0,18.097551020408165,213.4895,3048.5,145.0742327,108.3641405,24193.0,12.60075228,986.69,100.248084,11498.32,6498.61,460.89,0.0,0.0,766.88,1297.12,508.65,55.5,2258.48,46.2,0.942
2010,25,0.0,1.0,0.0,0.0,1.0,2.0,0.0,15.281904761904762,217.189,3059.0,147.5881836,108.7373809,24193.0,12.64415327,987.4,100.1806671,11499.65,6492.86,460.54,0.0,0.0,767.09,1296.45,509.51,55.52,2258.27,50.03,-0.065
2011,25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.750952380952384,220.4452,3078.2,149.8008954,109.4198777,24193.0,12.72351507,988.05,100.1833457,11502.66,6492.41,460.42,0.0,0.0,767.28,1295.42,509.66,55.51,2257.71,48.2,0.837
2012,25,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.63231884057971,223.7014,3097.4,152.0136071,110.1023745,24193.0,12.80287687,989.67,100.1062967,11511.49,6485.04,460.13,0.0,0.0,766.93,1295.19,509.74,55.35,2255.77,48.02,0.565
2013,25,0.0,1.0,1.0,0.0,3.0,1.0,0.0,18.57945945945946,226.9576,3116.6,154.2263188,110.7848713,24193.0,12.88223866,990.1,100.0660259,11518.01,6481.6,460.69,0.0,0.0,766.82,1294.91,509.84,55.37,2253.53,46.45,0.357
2014,25,0.0,0.0,1.0,0.0,1.0,2.0,0.0,29.08944444444445,230.2138,3135.8,156.4390305,111.4673681,24193.0,12.96160046,990.63,100.0789757,11511.77,6482.04,461.15,0.0,0.0,766.89,1294.16,509.71,55.32,2259.07,46.59,1.712
2015,25,0.0,0.0,1.0,0.0,1.0,3.0,0.0,53.274054054054055,233.47,3155.0,158.6517422,112.1498649,24193.0,13.04096226,991.13,100.0,11511.45,6475.64,461.14,0.0,0.0,766.87,1294.19,509.71,55.32,2259.08,52.79,0.607
2016,25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,56.25414285714286,236.925,3159.0,160.9995461,112.2920518,24193.0,13.05749597,991.6,99.747909,11534.98,6456.35,461.29,0.0,0.0,765.82,1293.42,509.99,55.56,2258.35,49.97,1.155
2017,25,0.0,0.0,1.0,0.0,0.0,29.0,0.0,62.7643137254902,240.464,3164.0,163.4044311,112.4697853,24193.0,13.07816311,992.59,99.66219593,11539.98,6448.96,461.34,0.0,0.0,765.49,1293.6,510.06,55.44,2259.29,50.58,1.419
2018,25,0.0,1.0,0.0,0.0,1.0,28.0,0.0,55.78513513513514,241.148,3173.0,163.8692351,112.7897057,24193.0,13.11536395,993.67,99.57705942,11540.3,6441.52,461.35,0.0,0.0,766.34,1293.34,510.04,55.6,2265.91,49.25,0.994
2019,25,0.0,2.0,1.0,0.0,0.0,14.0,0.0,69.27162162162162,248.196,3182.0,168.6586191,113.109626,24193.0,13.15256479,995.85,99.55585816,11534.99,6437.76,461.57,0.0,0.0,768.96,1293.64,510.23,55.27,2270.46,48.6,1.23
2020,25,0.0,1.0,1.0,0.0,1.0,17.0,0.0,78.61635135135134,252.01,3190.0,171.2503771,113.3939997,24193.0,13.18563221,995.65,99.57330676,11527.44,6439.15,461.97,0.0,0.0,768.97,1293.18,510.29,55.25,2276.49,48.57,1.372
1992,26,0.0,0.0,0.0,0.0,27.0,14.0,2.0,1.5116666666666667,14499.0523,302667.2,100.0,100.0,915896.0,33.04602269,6032.81,97.31036971,199900.32,151507.74,18850.6,192.17,6536.75,202541.92,12527.3,18636.24,18221.44,296011.11,1728.41,0.396
1993,26,0.0,1.0,6.0,0.0,20.0,33.0,1.0,-18.135882352941177,14624.3687,302775.8,100.8643075,100.035881,915896.0,33.05787993,6225.34,97.31383721,199860.53,151320.92,18849.1,191.99,6536.75,202502.81,12523.1,18635.64,18220.04,295999.49,1821.67,0.01
1994,26,0.0,0.0,1.0,1.0,9.0,32.0,3.0,-13.522156862745096,14749.6851,302884.4,101.728615,100.071762,915896.0,33.06973718,6415.94,97.36948142,199817.88,151220.27,18847.4,191.89,6536.75,202468.2,12518.8,18635.34,18218.74,295986.82,1828.55,0.472
1995,26,0.0,2.0,5.0,0.0,10.0,22.0,0.0,-6.630000000000001,14875.0015,302993.0,102.5929226,100.107643,915896.0,33.08159442,6608.82,97.65882243,199732.98,151495.92,18875.3,191.68,6536.75,202425.31,12309.0,18603.05,18222.34,295769.83,1916.2,0.638
1996,26,0.0,0.0,4.0,0.0,9.0,30.0,1.0,-6.5633333333333335,15000.3179,303101.6,103.4572301,100.143524,915896.0,33.09345166,6799.63,97.83842045,199505.83,151595.77,18944.5,191.4,6536.75,202047.9,12176.6,18622.15,18221.94,296096.31,1947.81,-0.005
1997,26,0.0,0.0,8.0,0.0,23.0,26.0,2.0,-2.07040404040404,15125.6343,303210.2,104.3215376,100.179405,915896.0,33.1053089,6967.15,97.93704383,199327.33,151587.94,18984.3,191.18,6536.75,201764.6,12019.5,18643.26,18223.84,296306.94,2133.94,0.389
1998,26,0.0,1.0,7.0,0.0,20.0,29.0,4.0,-0.2209090909090909,15250.9507,303318.8,105.1858451,100.215286,915896.0,33.11716614,7118.73,98.18730192,199461.02,151841.51,19034.3,191.03,6536.75,201595.08,11641.1,18680.64,18227.94,296211.3,2147.3,1.274
1999,26,1.0,1.0,1.0,0.0,16.0,22.0,3.0,0.657878787878788,15376.2671,303427.4,106.0501527,100.251167,915896.0,33.12902338,7245.03,98.43304236,199640.12,152113.0,19111.1,191.02,6536.75,200737.63,10937.9,18760.53,18231.14,296840.22,2341.96,0.756
2000,26,2.0,1.0,8.0,0.0,12.0,20.0,7.0,4.704313725490196,15501.5835,303536.0,106.9144602,100.287048,916192.0,33.13017359,7379.84,98.71963118,199536.68,152442.13,19139.5,190.99,6536.75,200299.99,9941.4,18873.74,18235.84,297762.32,2347.03,1.002
2001,26,0.0,1.0,5.0,0.0,17.0,16.0,3.0,3.808301886792453,15622.2178,304054.4,107.7464753,100.4583252,916192.0,33.18675561,7724.18,98.97998927,199462.93,152519.31,19123.5,190.61,6536.75,200090.45,9185.02,18952.88,18244.44,298308.43,2347.79,0.788
2002,26,1.0,1.0,4.0,0.0,15.0,28.0,8.0,7.722783018867925,15742.8521,304572.8,108.5784903,100.6296024,916192.0,33.24333764,7985.55,99.09933376,199426.2,152451.07,19120.2,190.4,6536.75,200096.46,8819.71,19002.6,18250.14,298400.68,2406.05,0.953
2003,26,0.0,0.0,4.0,1.0,14.0,23.0,3.0,12.314155251141552,15863.4864,305091.2,109.4105054,100.8008796,916192.0,33.29991967,8165.48,99.18812373,199409.3,152414.95,19109.3,190.27,6536.75,200001.34,8447.55,19050.28,18265.14,298658.7,2437.12,0.991
2004,26,0.0,1.0,4.0,0.0,12.0,21.0,3.0,13.300879629629629,15984.1207,305609.6,110.2425205,100.9721569,916192.0,33.35650169,8289.3,99.23301675,199414.9,152363.98,19085.0,190.16,6536.75,199826.92,8020.6,19085.26,18272.64,299160.45,2441.21,0.863
2005,26,0.0,1.0,6.0,0.0,8.0,17.0,1.0,14.991897435897435,16104.755,306128.0,111.0745355,101.1434341,916192.0,33.41308372,8533.05,99.30713375,199379.36,152240.17,19081.2,190.17,6536.75,199743.5,7955.1,19100.51,18279.24,299175.65,2472.17,1.154
2006,26,0.0,2.0,11.0,0.0,12.0,15.0,3.0,18.409444444444446,16225.3892,306646.4,111.9065499,101.3147113,916192.0,33.46966575,8781.08,99.36144995,199373.38,152080.07,19078.8,189.96,6536.75,199781.6,7789.45,19142.61,18286.44,299143.33,2503.37,1.033
2007,26,1.0,0.0,6.0,0.0,13.0,23.0,3.0,16.804864864864864,16346.0235,307164.8,112.738565,101.4859886,916192.0,33.52624777,9003.3,99.45233065,199328.55,152005.09,19066.9,190.2,6536.75,199829.43,7739.9,19154.7,18299.35,298996.44,2536.86,1.148
2008,26,0.0,1.0,4.0,0.0,14.0,25.0,2.0,25.42320987654321,16466.6578,307683.2,113.5705801,101.6572658,914742.0,33.6360635,9171.9,99.52625876,199254.12,151955.96,19046.5,190.28,6536.75,199897.11,7708.38,19252.51,18331.55,298783.7,2557.46,0.219
2009,26,0.0,1.0,4.0,0.0,10.0,28.0,2.0,25.15590909090909,16587.2921,308201.6,114.4025951,101.828543,914742.0,33.69273522,9338.77,99.56212897,199208.15,151847.48,19070.4,190.22,6536.75,199924.32,7613.96,19252.69,18345.55,298782.38,2577.39,0.408
2010,26,0.0,0.0,3.0,0.0,12.0,19.0,0.0,17.324324324324323,16707.9264,308720.0,115.2346102,101.9998203,914742.0,33.74940694,9500.7,99.64026241,199320.83,151811.79,19073.5,190.13,6536.75,200059.55,7624.26,19283.29,18359.66,298327.21,2598.92,0.704
2011,26,1.0,1.0,4.0,0.0,14.0,29.0,3.0,18.124566210045664,16833.2032,308995.0,116.0986446,102.0906791,914742.0,33.77947006,9648.15,99.68889974,199386.68,151743.09,19084.3,190.13,6536.75,200239.56,7622.22,19306.82,18363.06,297945.64,2620.24,0.543
2012,26,2.0,1.0,1.0,0.0,19.0,26.0,2.0,35.20048309178744,16958.48,309270.0,116.962679,102.181538,914742.0,33.80953318,9829.73,99.75960293,199374.5,151675.89,19083.7,190.08,6536.75,200338.67,7627.56,19317.95,18365.36,297703.99,2641.97,1.455
2013,26,0.0,1.0,7.0,0.0,15.0,24.0,5.0,28.448452380952386,17083.7569,309545.0,117.8267141,102.2723969,914742.0,33.8395963,10075.13,99.84715024,199343.48,151572.41,19089.4,190.05,6536.75,200419.82,7623.63,19361.57,18384.86,297459.22,2630.9,0.619
2014,26,1.0,1.0,2.0,1.0,13.0,19.0,1.0,36.92759259259259,17209.0337,309820.0,118.6907485,102.3632557,914742.0,33.86965942,10294.27,99.94437735,199282.06,151510.57,19086.9,190.02,6536.75,200405.1,7622.71,19370.09,18392.06,297375.45,2620.63,0.506
2015,26,1.0,0.0,5.0,0.0,19.0,20.0,4.0,47.05279279279279,17334.3105,310095.0,119.5547829,102.4541146,914742.0,33.89972254,10412.48,100.0,199244.8,151482.53,19085.6,190.02,6536.75,200393.17,7622.6,19379.19,18400.26,297328.88,2611.02,1.53
2016,26,0.0,0.0,6.0,0.0,16.0,23.0,4.0,52.452238095238094,17476.9542,310095.0,120.5385969,102.4541146,914742.0,33.89972254,10566.67,100.0550169,199073.95,151417.13,19112.4,190.27,6536.75,200452.97,7617.6,19373.42,18407.56,297336.15,2600.82,2.223
2017,26,1.0,0.0,3.0,0.0,17.0,5.0,3.0,51.7137908496732,17587.0622,309795.0,121.298012,102.3549959,914742.0,33.86692641,10728.9,100.1767428,199004.43,151452.34,19138.7,190.11,6536.75,200423.91,7599.29,19372.88,18409.06,297239.03,2592.43,1.434
2018,26,1.0,0.0,3.0,1.0,11.0,4.0,3.0,61.64765765765766,17704.7843,309795.0,122.1099416,102.3549959,914742.0,33.86692641,10819.27,100.5663304,199680.67,151992.55,19149.4,189.85,6536.75,200999.15,7632.6,19394.09,18406.66,295284.35,2601.67,1.277
2019,26,0.0,0.0,4.0,0.0,14.0,3.0,2.0,67.7927027027027,17704.7843,309795.0,122.1099416,102.3549959,914742.0,33.86692641,10912.73,100.8395212,200952.81,152341.43,19171.1,189.26,6536.75,201428.12,7717.14,19423.35,18464.16,292942.84,2607.65,1.037
2020,26,1.0,0.0,2.0,0.0,19.0,2.0,1.0,68.2463963963964,17704.7843,309795.0,122.1099416,102.3549959,914742.0,33.86692641,10912.88,100.8772709,201022.4,152408.35,19179.1,189.12,6536.52,201446.15,7725.43,19414.1,18458.13,292820.38,2608.79,1.332
1992,27,0.0,0.0,2.0,1.0,2.0,6.0,0.0,12.34125,350.1345,9857.588,100.0,100.0,32549.0,30.28537897,73.33,124.7139298,1851.38,10058.28,771.01,180.87,0.0,5691.63,58.34,6.1,18.71,12058.98,2175.7,0.047
1993,27,0.0,0.0,1.0,0.0,3.0,4.0,0.0,-29.926764705882352,371.3423,10098.402,106.0570438,102.4429303,32549.0,31.02522965,75.35,123.8027512,1851.38,9982.24,770.97,180.85,0.0,5691.61,58.34,6.1,18.71,12059.35,2249.44,0.292
1994,27,0.0,0.0,1.0,1.0,1.0,4.0,0.0,-24.58117647058824,392.5501,10339.216,112.1140876,104.8858605,32549.0,31.76508034,77.47,121.698868,1851.4,9809.2,770.94,180.85,0.0,5691.6,58.32,6.1,18.71,12059.75,2419.99,0.358
1995,27,0.0,0.0,1.0,0.0,1.0,5.0,0.0,-17.181935483870966,413.7578,10580.03,118.1711028,107.3287908,32549.0,32.50493103,79.66,124.0084787,1893.05,9994.64,760.76,170.09,0.0,5738.27,58.48,6.1,18.54,11731.17,2493.57,0.369
1996,27,0.0,0.0,2.0,0.0,4.0,11.0,0.0,-8.875294117647059,434.9656,10820.844,124.2281466,109.771721,32549.0,33.24478171,81.39,123.3700763,1902.17,9941.05,762.11,171.62,0.0,5695.39,58.58,6.1,18.54,11712.05,2595.34,0.014
1997,27,1.0,0.0,0.0,0.0,3.0,7.0,0.0,-8.874848484848485,456.1734,11061.658,130.2851904,112.2146513,32549.0,33.9846324,83.29,123.3347858,1923.1,9936.28,764.01,172.81,0.0,5680.96,58.61,6.1,18.49,11611.5,2689.18,0.318
1998,27,0.0,0.0,1.0,0.0,3.0,6.0,0.0,-11.18090909090909,477.3811,11302.472,136.3422056,114.6575816,32549.0,34.72448309,85.61,122.5806268,1941.59,9872.69,765.04,174.47,0.0,5687.92,58.79,6.1,18.49,11506.98,2826.64,1.307
1999,27,1.0,0.0,3.0,0.0,1.0,4.0,0.0,7.878181818181819,498.5889,11543.286,142.3992494,117.1005118,32549.0,35.46433377,87.88,122.7475421,1971.65,9883.98,764.52,178.29,0.0,5738.05,58.66,6.1,18.39,11319.38,2917.42,0.737
2000,27,0.0,0.0,2.0,2.0,7.0,6.0,0.0,11.843823529411765,519.7967,11784.1,148.4562932,119.5434421,31106.0,37.88368803,90.27,121.7240653,2000.36,9798.45,766.26,179.61,0.0,5806.94,58.74,6.1,18.39,11156.41,3062.81,0.122
2001,27,0.0,0.0,4.0,0.0,3.0,10.0,0.0,19.294722222222223,516.2818,11944.496,147.4524219,121.1705744,31109.0,38.39562827,94.89,120.7510817,2022.6,9714.78,764.11,181.97,0.0,5937.78,58.94,6.09,18.39,10942.06,3202.71,0.679
2002,27,1.0,0.0,3.0,0.0,1.0,11.0,1.0,9.410714285714286,512.7669,12104.892,146.4485505,122.7977067,31055.0,38.97888263,101.14,120.5234079,2037.86,9690.04,764.91,182.17,0.0,5997.34,59.0,6.08,18.39,10838.31,3249.1,0.715
2003,27,0.0,0.0,3.0,0.0,1.0,6.0,0.0,14.776164383561644,509.252,12265.288,145.4446791,124.424839,31007.0,39.55651305,105.78,119.3902421,2044.47,9593.34,765.26,182.74,0.0,5972.75,59.04,6.08,18.39,10823.29,3373.19,1.074
2004,27,0.0,0.0,3.0,1.0,2.0,10.0,0.0,8.214583333333332,505.7371,12425.684,144.4408077,126.0519713,31007.0,40.07380269,110.12,114.4728873,2053.71,9189.52,764.98,183.55,0.0,5919.0,59.47,6.08,18.44,10826.86,3812.6,0.371
2005,27,1.0,0.0,5.0,0.0,4.0,6.0,0.0,-1.6195384615384616,502.2222,12586.08,143.4369364,127.6791037,31283.7,40.23206974,117.92,109.6908128,2063.27,8793.23,763.43,183.3,0.0,5911.33,59.49,6.08,18.44,10803.97,4223.87,0.817
2006,27,0.0,0.0,5.0,0.0,6.0,7.0,0.0,18.280555555555555,498.7073,12746.476,142.433065,129.306236,31279.5,40.75025496,126.0,109.3904305,2067.85,8760.75,762.65,184.95,0.0,5885.45,59.43,6.05,18.45,10811.07,4261.69,0.885
2007,27,0.0,0.0,5.0,0.0,1.0,5.0,0.0,14.414864864864866,495.1924,12906.872,141.4291936,130.9333683,31255.8,41.29432617,134.77,109.001397,2073.14,8720.37,758.74,186.91,0.0,5851.93,59.65,6.05,18.45,10834.66,4299.65,0.518
2008,27,0.0,0.0,5.0,0.0,5.0,4.0,0.0,39.45457943925234,491.6775,13067.268,140.4253223,132.5605006,31279.2,41.7762219,143.1,106.669227,2080.51,8522.58,757.84,187.68,0.0,5848.05,60.17,6.05,18.46,10821.14,4498.75,0.216
