Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,0.78196932,0.795722723,0.804536227,0.808409831,0.807343535,0.801337339,0.889526436,0.966874182,1.033380578,1.089045624,1.13386932,1.200565192,1.261357075,1.316244968,1.365228873,1.40830879,1.487106883,1.564624023,1.64086021,1.715815444,1.789489724,1.885485119,1.982230543,2.079725998,2.177971482,2.276966996
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 2,0.102025422,0.099351376,0.0954491,0.090318592,0.083959853,0.076372883,0.077708978,0.076426118,0.072524304,0.066003533,0.056863808,0.058785257,0.060207407,0.061130258,0.061553809,0.061478061,0.07286488,0.085143592,0.098314198,0.112376698,0.127331092,0.144070907,0.161797732,0.180511566,0.20021241,0.220900264
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 1,0.674213878,0.703128901,0.72994445,0.754660526,0.777277128,0.797794257,0.805271248,0.809457305,0.810352429,0.807956619,0.802269876,0.809780554,0.815186101,0.818486517,0.819681803,0.818771959,0.832963764,0.846078081,0.85811491,0.86907425,0.878956102,0.898176535,0.916793066,0.934805694,0.952214419,0.969019242
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 2,0.09846967,0.100430863,0.10178621,0.102535711,0.102679366,0.102217174,0.097743664,0.092281451,0.085830536,0.078390917,0.069962595,0.065532384,0.060471121,0.054778808,0.048455444,0.04150103,0.041381333,0.041135411,0.040763263,0.040264891,0.039640294,0.043088067,0.046674649,0.050400042,0.054264246,0.05826726
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 1,0.234145099,0.232492783,0.230834309,0.229169679,0.22749889,0.225821944,0.224528192,0.223225516,0.221913919,0.2205934,0.219263958,0.217684792,0.216103819,0.214521039,0.212936451,0.211350056,0.209752367,0.208157839,0.206566471,0.204978264,0.203393218,0.202389168,0.201383316,0.20037566,0.199366202,0.198354941
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 2,0.035415135,0.034609195,0.033811821,0.033023015,0.032242776,0.031471104,0.030726078,0.029988935,0.029259675,0.028538296,0.0278248,0.02715876,0.026499506,0.02584704,0.02520136,0.024562467,0.023798995,0.023043418,0.022295735,0.021555947,0.020824054,0.020148314,0.019478814,0.018815555,0.018158536,0.017507757
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 1,0.234204122,0.232398768,0.230590014,0.228777861,0.226962308,0.225143356,0.928422528,1.524361098,2.012959067,2.394216435,2.668133201,2.874843499,3.037226742,3.155282929,3.22901206,3.258414137,3.444037961,3.615808818,3.773726709,3.917791634,4.048003591,4.280786989,4.512489562,4.74311131,4.972652233,5.201112332
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 2,0.035415135,0.034609195,0.033811821,0.033023015,0.032242776,0.031471104,0.127196901,0.200978428,0.252815684,0.282708669,0.290657384,0.290936368,0.281084675,0.261102307,0.230989262,0.190745541,0.198521308,0.20499631,0.210170549,0.214044023,0.216616733,0.241638194,0.26801862,0.295758014,0.324856375,0.355313703
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,3.347702364,3.395485305,3.420596981,3.423037392,3.402806538,3.35990442,3.356336274,3.337588397,3.303660787,3.254553447,3.190266375,3.20938896,3.220613939,3.223941311,3.219371075,3.206903232,3.277303027,3.345065482,3.410190596,3.472678369,3.532528803,3.644814757,3.757098784,3.869380888,3.981661066,4.093939318
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 2,0.432437737,0.421329994,0.40491459,0.383191525,0.356160798,0.323822409,0.302710622,0.27806087,0.249873155,0.218147475,0.182883831,0.179223402,0.174685433,0.169269923,0.162976875,0.155806287,0.171836587,0.188593396,0.206076715,0.224286543,0.243222881,0.265277818,0.288238416,0.312104673,0.336876591,0.362554169
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,0.868117494,0.947113593,1.024686261,1.100835497,1.175561302,1.248863675,1.240745207,1.232521774,1.224193378,1.215760019,1.207221696,1.187882497,1.168390689,1.148746272,1.128949245,1.108999609,1.097310184,1.085549611,1.073717891,1.061815022,1.049841006,1.048832502,1.047795647,1.046730441,1.045636885,1.044514978
