Country,ISO2,ISO3,Technology,Energy Type,Indicator,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Rep. of",AF,AFG,Solar energy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,0.004,0.18,0.212,28.374,29.643,32.319,33.319,35.551,39.347,38.949,55.848,65.991,78.786,93.876,
"Afghanistan, Islamic Rep. of",AF,AFG,Solar energy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,0.002,0.102,0.12,16.122,16.843,18.363,18.931,20.2,22.341,22.116,31.631,31.053,31.226,33.243,33.243
"Afghanistan, Islamic Rep. of",AF,AFG,Wind energy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,,,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,
"Afghanistan, Islamic Rep. of",AF,AFG,Wind energy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Africa,,NA605,Bioenergy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",2200.46,2235.944,2303.301,2275.012,2352.402,2384.18,2373.943,2348.705,2356.688,2462.581,2557.881,2610.397,2880.503,2984.112,2914.552,3048.092,3269.951,3111.952,3321.472,3371.044,3108.891,3147.22,3224.269,
Africa,,NA605,Bioenergy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",809.979,840.879,862.879,870.879,879.879,963.129,895.502,910.352,954.972,1007.281,1035.92,1118.46,1214.213,1286.803,1379.37,1460.29,1522.685,1639.06,1793.16,1804.66,1819.417,1917.16,1915.996,1898.996
Africa,,NA605,Fossil fuels,Total Non-Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",322077.6829,341429.4079,368849.5549,394515.7399,448410.0219,445337.8234,456141.0713,476951.9753,482880.7059,492370.6438,521427.3928,538316.6231,564177.3059,574041.382,594081.5287,611447.3826,604718.3774,625304.5649,637949.297,650540.6486,622666.9946,641533.397,677716.363,
Africa,,NA605,Fossil fuels,Total Non-Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",72252.3878,74545.7158,75333.5258,79231.6058,80635.9878,85289.6558,88395.7198,94116.5998,97888.4238,103221.5538,109815.2718,114187.3668,119278.9228,126013.6848,131734.8318,136673.2538,146611.4378,157160.2998,172522.2278,177439.3588,181831.1628,185015.8528,186809.4348,188733.24
Africa,,NA605,Hydropower (excl. Pumped Storage),Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",76120.741,82806.903,80875.351,82676.756,87309.65,94347.744,96305.55,94886.337,98920.335,105356.413,109759.816,110361.347,112258.42,118374.336,122284.174,121307.388,118245.626,125566.708,135415.493,142110.575,148310.887,155558.247,160505.156,
Africa,,NA605,Hydropower (excl. Pumped Storage),Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",20842.063,20964.106,21205.251,21582.134,21522.109,21549.76,21521.488,21722.38,22031.827,23821.025,24631.588,24782.371,25445.982,26703.822,26728.223,27237.6,28166.093,30923.444,32287.93,32993.234,33852.455,34332.865,36079.022,37083.682
