Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",Percent of GDP,4.06481063940635,3.62602110856149,3.99190259106179,5.86736892978509,6.61348599629557,6.49206312768294,9.03594977538185,11.4003701357692,10.3056060247579,9.96570140261555,10.2343864630129,10.4964725965858,10.760268164121,11.0337635769192,11.3282884446441,11.6328954677049
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",USD at constant 2021 prices,921795165.4,731458976.5,828106544.6,1158454184.0,1356822787.0,1300619927.0,1810262178.0,2283950153.0,2064625111.0,1996528619.0,2050356984.0,2102863320.0,2155712124.0,2210504195.0,2269509307.0,2330534278.0
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",Percent of GDP,0.0,0.0,0.0,0.0,0.0777035380678495,0.0773231406608765,0.0831557551163023,0.0771056303284417,0.120706413047819,0.123175783268444,0.131612842966956,0.140971494309674,0.147124319956075,0.152066446790456,0.15612312982929,0.160202564190876
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",USD at constant 2021 prices,0.0,0.0,0.0,0.0,15941657.87,15490918.0,16659423.98,15447341.98,24182322.79,24677036.42,26367316.96,28242229.17,29474886.26,30464991.95,31277707.83,32094981.71
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",Percent of GDP,1.31225809581112,1.52914725100035,1.83195699193907,2.23735260387544,2.31528222021837,2.36793829789358,2.73527113656783,2.85690225566537,3.70098265648398,3.81954097234701,3.98187741788959,4.12526755515623,4.26327556703604,4.40357302785265,4.54808468054308,4.69616193620845
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",USD at constant 2021 prices,297586597.7,308467173.7,380033214.7,441743227.0,475003300.3,474392758.6,547984219.5,572351797.9,741454865.4,765206838.4,797729321.9,826456102.0,854104627.1,882211820.4,911163284.9,940829082.3
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",Percent of GDP,2.7525525440362,2.09687385756114,2.15994559912272,3.63001632844206,4.22050023835055,4.04680168663272,6.21752288609364,8.4663622491764,6.4839169561745,6.02298464610163,6.12089620644904,6.23023354796845,6.34986827393431,6.47812410402316,6.62408063292403,6.7765309673555
"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",USD at constant 2021 prices,624208567.8,422991802.8,448073329.9,716710957.5,865877828.9,810736249.9,1245618535.0,1696151013.0,1298987923.0,1206644744.0,1226260346.0,1248164989.0,1272132610.0,1297827383.0,1327068314.0,1357610214.0
