,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,,WLD,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO; IMF staff calculations.",ECMFC,,"Environment, Climate Change, Mitigation, Forest and Carbon, Carbon Stocks in Living Biomass (in Forests)",296948.8291,296723.9289,296499.029,296274.129,296049.2285,295824.3288,295599.4295,295374.5288,295149.629,295000.1375,294850.6476,294701.1574,294551.6671,294402.1767,294252.6864,294103.1955,293953.7052,293804.2152,293654.725,293834.6057,294014.594,294194.5829,294374.5721,294554.5616,294750.681,294474.0169,294450.3036,294295.808,294135.6234,,
World,,WLD,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO; IMF staff calculations.",ECMFF,,"Environment, Climate Change, Mitigation, Forest and Carbon, Forest Area",4220756.642,4212918.252,4205079.862,4197241.472,4189403.083,4181564.692,4173726.302,4165887.912,4158049.522,4152876.264,4147703.007,4142529.749,4137356.491,4132183.233,4127009.975,4121836.718,4116663.46,4111490.202,4106316.944,4101823.291,4097333.397,4092843.503,4088353.61,4083863.716,4080599.782,4073753.425,4068919.514,4063830.76,4058917.72,4053892.727,4048942.374
World,,WLD,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO; IMF staff calculations.",ECMFS,,"Environment, Climate Change, Mitigation, Forest and Carbon, Index of Carbon Stocks in Forests",100,99.92426298,99.84852606,99.7727891,99.69705198,99.62131513,99.54557841,99.46984122,99.39410433,99.34376182,99.29341984,99.24307777,99.19273566,99.14239352,99.09205141,99.0417091,98.99136699,98.94102499,98.89068291,98.95125924,99.01187181,99.07248457,99.13309744,99.19371041,99.25975526,99.16658631,99.15860066,99.10657297,99.05262947,,
World,,WLD,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO; IMF staff calculations.",ECMFE,,"Environment, Climate Change, Mitigation, Forest and Carbon, Index of Forest Extent",100,99.81428946,99.62857892,99.44286838,99.25715784,99.0714473,98.88573676,98.70002621,98.51431567,98.3917486,98.26918153,98.14661446,98.02404739,97.90148031,97.77891324,97.65634617,97.5337791,97.41121203,97.28864495,97.18217936,97.07580285,96.96942634,96.86304983,96.75667332,96.67934278,96.5171359,96.4026088,96.28204383,96.16564195,96.04658763,95.92930171
