Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AU,AUS,CO2 Emissions Embodied in Gross Imports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Imports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,62.026,66.951,73.667,82.12,77.007,79.899,77.818,77.437,88.039,104.935,125.195,131.361,136.48,142.864,141.641,139.444,163.49,179.029,173.5,160.784,152.201,136.946,138.988,140.888,145.995,142.803,158.778
Australia,AU,AUS,CO2 Emissions Embodied in Production,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTP,CO2 Emissions Embodied in Production,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Production",Units,293.607,304.51,312.782,333.242,339.506,345.673,351.727,358.478,358.711,373.031,378.225,385.432,395.972,398.278,406.97,399.76,397.102,398.457,392.595,382.107,388.938,398.39,402.665,399.829,,,
Austria,AT,AUT,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-22.954,-23.544,-18.528,-19.823,-19.409,-19.275,-16.702,-14.305,-17.879,-20.283,-24.565,-25.932,-25.179,-26.084,-23.96,-22.052,-24.696,-23.222,-21.756,-20.443,-16.402,-16.814,-17.05,-20.979,,,
Austria,AT,AUT,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,85.139,89.364,83.594,85.663,83.692,83.929,85.665,84.352,93.321,97.83,102.569,101.783,98.034,97.814,89.335,93.194,94.201,89.596,88.753,83.846,80.901,81.909,85.103,85.749,,,
Austria,AT,AUT,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,30.284,31.473,34.103,34.791,35.224,38.627,40.947,42.027,44.476,49.153,51.628,53.651,55.202,56.274,42.993,55.936,59.3,56.576,55.472,52.721,52.771,51.019,55.175,55.17,54.441,55.082,63.346
Austria,AT,AUT,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,-22.953,-23.544,-18.527,-19.822,-19.408,-19.274,-16.701,-14.304,-17.879,-20.282,-24.564,-25.932,-25.178,-26.084,-23.959,-22.052,-24.696,-23.222,-21.756,-20.443,-16.402,-16.813,-17.05,-20.979,-23.82,-7.761,-9.936
Austria,AT,AUT,CO2 Emissions Embodied in Gross Imports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Imports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,53.497,55.313,52.854,55.018,54.9,58.195,58.035,56.916,62.936,69.943,76.627,79.881,80.694,82.615,67.201,78.292,84.243,80.044,77.598,73.592,69.82,68.544,72.92,76.779,78.261,62.843,73.282
Austria,AT,AUT,CO2 Emissions Embodied in Production,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTP,CO2 Emissions Embodied in Production,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Production",Units,62.185,65.819,65.065,65.841,64.283,64.653,68.964,70.047,75.442,77.547,78.005,75.851,72.855,71.73,65.376,71.141,69.505,66.374,66.997,63.403,64.498,65.094,68.053,64.77,,,
Belgium,BE,BEL,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-13.357,-9.664,-6.361,-7.245,-8.155,-5.14,-1.117,-3.818,-7.291,-14.792,-19.203,-18.226,-22.837,-27.703,-22.798,-23.415,-31.243,-30.072,-28.809,-31.905,-24.285,-24.365,-25.622,-25.769,,,
Belgium,BE,BEL,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,129.903,132.345,126.714,131.027,127.407,127.443,124.627,120.548,129.203,136.293,139.071,137.392,138.776,145.299,130.521,139.57,137.004,133.012,130.4,126.594,125.289,125.276,124.963,126.651,,,
