Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0144,0.0164,0.0143,0.013,0.0133,0.0108,0.0084
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0149,0.0144,0.014,0.0123,0.01,0.0078,0.0062
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0148,0.0137,0.0149,0.0145,0.0144,0.012,0.0092
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0152,0.0147,0.0116,0.0109,0.011,0.0082,0.0066
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Below 2°C,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0346,0.0334,0.033,0.0263,0.0143,0.0163,0.0149
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0269,0.0273,0.0343,0.0424,0.0523,0.0578,0.0633
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0266,0.0267,0.0333,0.0474,0.0193,0.0109,0.0101
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Fragmented World,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.035,0.0343,0.0397,0.0485,0.0493,0.0202,0.0117
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Low Demand,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0375,0.032,0.0173,0.0123,0.0133,0.0127,0.0111
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0286,0.0284,0.0375,0.0434,0.0496,0.0479,0.0405
Georgia,GE,GEO,Transition Pathways,Final energy,Solids,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0365,0.0319,0.0188,0.0127,0.0146,0.0144,0.0129
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Below 2°C,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.1644,10.7592,11.1763,11.9035,11.7456,11.7543
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.7502,12.6439,14.6227,17.0242,18.036,18.9856
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.7502,12.6439,12.7478,13.0036,12.555,12.7421
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Fragmented World,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.7502,12.6439,15.0316,17.3401,18.4662,19.6938
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Low Demand,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.3362,10.0021,9.9669,10.2459,9.5477,9.9184
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,11.6637,12.4268,14.2011,15.6685,16.4259,17.2552
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,GCAM,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.9698,10.9929,9.2615,9.5573,9.5917,9.2282,9.6899
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Below 2°C,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,12.1827,8.1079,7.7996,7.8165,6.8133,5.9577
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,11.4885,10.8063,9.8385,9.6373,9.1133,9.2213
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,11.4885,10.8063,8.1893,7.7006,6.647,5.7538
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Fragmented World,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,11.4885,10.8063,9.22,8.831,7.8887,7.2242
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Low Demand,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,12.1827,7.8579,6.8657,5.794,4.9109,4.5564
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,12.1827,12.1959,10.7878,9.8687,8.6841,8.2855
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,10.6854,12.1827,7.5581,6.6996,5.9182,4.9261,4.4715
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Below 2°C,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,11.048,9.6313,8.7135,6.9268,5.7949,5.2486
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,12.4285,13.0134,13.2911,13.6291,13.3071,13.2396
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,12.4285,13.0134,9.7328,6.8237,5.1015,4.5909
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Fragmented World,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,12.4285,13.0134,11.638,11.2445,9.9508,8.446
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Low Demand,Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,10.4648,7.5447,5.3744,4.1447,3.3397,2.9095
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,12.0717,12.1961,11.6089,11.2933,10.6768,10.6363
Georgia,GE,GEO,Transition Pathways,Emissions and CCS,Total non-CO2 emissions,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,12.0777,10.8234,8.2569,6.115,5.1113,4.4767,4.3526
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Below 2°C,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0174,0.0212,0.0216,0.023,0.0331,0.0406
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Current Policies (Hot house world scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0032,0.0188,0.0227,0.0239,0.0251,0.0263,0.026
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0032,0.0189,0.0228,0.0207,0.0203,0.0285,0.0362
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Fragmented World,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0033,0.0194,0.0237,0.0244,0.0259,0.0272,0.0272
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Low Demand,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0029,0.0151,0.0175,0.0183,0.026,0.0411,0.0547
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0032,0.019,0.0221,0.0241,0.0256,0.0266,0.0271
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0029,0.0168,0.0154,0.0234,0.0382,0.0637,0.0726
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0047,0.0048,0.0092,0.0081,0.0102,0.0236,0.0302
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0059,0.0043,0.0028,0.0018,0.0059,0.0092,0.0102
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0059,0.0044,0.0029,0.006,0.0114,0.022,0.0375
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0055,0.0042,0.0028,0.0056,0.0074,0.0094,0.0134
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.005,0.0051,0.0083,0.02,0.0259,0.0235,0.0189
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0055,0.0048,0.0029,0.0021,0.0083,0.0081,0.0094
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0048,0.0047,0.013,0.0206,0.0351,0.0501,0.0551
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Below 2°C,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0056,0.0082,0.0112,0.0193,0.0278,0.0353
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0043,0.0043,0.0047,0.0048,0.0047,0.0049
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0044,0.0043,0.0046,0.0144,0.0255,0.0365
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Fragmented World,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0047,0.0051,0.0065,0.0101,0.0222,0.0311
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Low Demand,EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0064,0.0135,0.0178,0.0204,0.0243,0.0251
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0031,0.0052,0.006,0.008,0.0102,0.0128,0.0171
Georgia,GE,GEO,Transition Pathways,Primary energy,Wind,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.003,0.0057,0.0124,0.0189,0.0301,0.041,0.0462
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.774646,9.990989,10.13413,10.29827,10.40285,10.42438,10.48053
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.778118,9.914589,10.03122,10.18616,10.33727,10.52461,10.68725
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.77396,9.977849,10.11402,10.31423,10.45156,10.4917,10.54611
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.843445,10.00394,10.14831,10.28458,10.38961,10.5124,10.61919
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.77379,9.972951,10.11142,10.2662,10.35546,10.3592,10.34971
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.843784,10.00783,10.15358,10.28811,10.39768,10.52401,10.65076
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.774851,9.99566,10.14022,10.29119,10.364,10.35048,10.33126
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.76059,9.980669,10.14354,10.30267,10.39593,10.41525,10.46505
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.827552,10.00326,10.14523,10.28011,10.39357,10.51687,10.63678
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.760448,9.977233,10.11086,10.3191,10.44517,10.47224,10.53202
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.827684,10.0026,10.14567,10.3038,10.41393,10.50245,10.58468
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.760602,9.981898,10.17243,10.30364,10.34243,10.31085,10.31359
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.827856,10.00467,10.14643,10.28026,10.37835,10.47734,10.56827
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.760602,9.981395,10.15525,10.27683,10.31689,10.2858,10.28402
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.976824639,10.10778883,10.26896139,10.35032168,10.35689454,10.38671653
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.998924408,10.1330867,10.26962463,10.37901753,10.50853936,10.6422949
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.998924408,10.1330867,10.27779391,10.40194822,10.41766625,10.43136987
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.998924408,10.1330867,10.2668435,10.37236664,10.47640473,10.56102521
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.984070068,10.1121795,10.21545119,10.21435648,10.14178173,10.09942395
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.998511566,10.13323112,10.2646443,10.34175166,10.42321816,10.49323226
Germany,DE,DEU,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.826560744,9.979658941,10.10795126,10.22995498,10.2498717,10.20643664,10.20442396
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673843,9.817478,9.922231,10.02843,10.08619,10.09591,10.1302
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673532,9.814255,9.910997,10.04024,10.15217,10.22,10.33915
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673571,9.811956,9.913357,10.0526,10.1328,10.15182,10.18527
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673632,9.813713,9.911449,10.04101,10.13434,10.18606,10.26922
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673413,9.811413,9.906861,10.01101,10.05199,10.03851,10.02579
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673805,9.816179,9.916302,10.04074,10.13717,10.1975,10.29649
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.673908,9.821326,9.922727,10.01226,10.04087,10.0268,10.00304
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.667671,9.826202,9.933941,10.03908,10.09297,10.08839,10.11211
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.667466,9.824188,9.914657,10.04605,10.15273,10.20191,10.29258
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.66747,9.821599,9.914907,10.06681,10.14085,10.13992,10.16426
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.667577,9.824075,9.914707,10.05955,10.14918,10.17568,10.22638
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.66768,9.825314,9.933953,10.00317,10.01436,9.975946,9.9609
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.667749,9.825765,9.913732,10.04171,10.12751,10.15737,10.22229
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.66768,9.82751,9.937185,10.01245,10.0252,9.978669,9.970397
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.665119173,9.818055458,9.913956886,10.02222197,10.06213586,10.04031809,10.05304149
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.665119173,9.817536153,9.908206047,10.03507765,10.13065939,10.17806802,10.26866547
Germany,DE,DEU,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,9.665119173,9.817536153,9.908206047,10.03349194,10.09912863,10.08816117,10.07646506
