Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.4221355,14.62434826,14.77732332,14.92553795,14.93383963,14.91985558,14.90149053
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29756,14.44143,14.56579,14.69385,14.74836,14.78997,14.81568
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29719,14.4378,14.55299,14.70742,14.82313,14.9358,15.05724
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29723,14.4352,14.55568,14.72164,14.80118,14.85568,14.87935
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29731,14.43718,14.55351,14.70831,14.80292,14.89591,14.9764
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29705,14.43459,14.54828,14.67382,14.7096,14.72253,14.69499
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29751,14.43997,14.55903,14.708,14.80613,14.90935,15.00792
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29763,14.44577,14.56635,14.67525,14.697,14.70877,14.66869
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.29023,14.45127,14.57912,14.70609,14.75604,14.78114,14.79477
Albania,AL,ALB,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.28999,14.449,14.55716,14.7141,14.82376,14.91454,15.0034
