Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2023
Advanced Economies,,AETMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,9.6810153
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Below 2°C,Scope 1,1.846453606
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Current Policies,Scope 1,0.297636383
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Delayed transition,Scope 1,7.762612161
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,9.300784192
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,2.200347425
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,6.838421153
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 1,2.472628196
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 1,0.297631029
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 1,12.70459628
