Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,,WLD,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.82305131,97.06563441,96.87587661,97.44628591,97.60552507,97.84059419,98.14690106,98.82904325,99.33350759,99.53820093,99.70543584,99.79463367,100.1235922,100.0380188,100.1122807,100.0674602,100.1197023,100.1848132,100.1743474,100.1532995,100.0505516,100.0293403,100.0206581,100,99.87017056,99.78995676,99.74660735,99.67534087,99.68544943,99.65738668,99.66609129
World,,WLD,Total Land Cover,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCI,Climate Influence Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Influence Land",Climate altering,1838657.48,1862838.29,1859196.32,1870143.38,1873199.48,1877710.57,1883588.84,1896680.22,1906842.47,1910772.15,1913981.79,1915694.96,1922009.12,1920366.79,1923282.37,1922421.62,1923424.94,1924676.63,1924475.04,1924070.2,1958320.12,1957904.41,1957734.77,1957330.56,1954779.2,1953208.78,1952360.62,1950968.58,1951262.77,1950617.17,1950787.53
World,,WLD,Total Land Cover,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCI,Climate Influence Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Influence Land",Climate neutral,2734702.68,2748924,2748969.47,2748697.25,2749042.3,2747808.16,2747063.27,2742785.43,2736872.18,2735269.46,2733159.62,2732274.72,2725075.04,2723774.18,2722740.06,2720452.58,2718871.87,2717005.15,2715743.71,2714677.76,2818461.95,2817674.22,2815385.24,2815705.29,2814917.87,2813688.05,2806427.31,2804217.15,2801653.24,2802704.32,2803411.18
World,,WLD,Total Land Cover,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC; IMF staff calculations.",ECCCI,Climate Influence Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Influence Land",Climate regulating,8476521.31,8576699.88,8580294.77,8569620.16,8566219.41,8562940.73,8557805.76,8548992.43,8548069.73,8545744.92,8544640.55,8543818.45,8544699.51,8547645.23,8555991.74,8559142.08,8559717.3,8560338.01,8561797.41,8563264.89,8674035.98,8675235.74,8677696.42,8677781.52,8681050.33,8683847.96,8691959.11,8695581.12,8698514.93,8697445.44,8696568.1
