Country,Year,Temperature,Drought,Extreme temperature,Flood,Landslide,Storm,Total Disasters,Wildfire,Sea level Value,Artificial surfaces (including urban and associated areas): Climate altering,Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
Afghanistan,2014,0.456,0,0,2,0,1,3,0,47.76888889,57.7679,100.0582165,24762.1424,5816.9845,64.2821,0,317.574,3121.4142,7.0606,4072.2172,24859.7449,1165.4203,104.0485,2908.245625,1208.44,118.9548648,100,65223,1.852781994
Afghanistan,2015,1.093,0,0,1,4,0,5,0,76.41243243,60.715,100,24761.9005,5810.6204,64.2821,0,317.574,3121.3161,7.0606,4072.1396,24858.5829,1165.9725,108.5048,2961.25645,1208.44,119.9325545,100,65223,1.852781994
Afghanistan,2016,1.555,0,0,4,0,0,4,0,74.82814286,60.715,98.93834967,24769.7195,5748.2839,64.3053,0,317.574,3121.0324,7.0606,4092.0273,24865.9751,1167.3222,134.615,3016.3776,1208.44,120.744521,100,65223,1.852781994
Afghanistan,2017,1.54,0,0,1,2,2,5,0,64.44333333,68.9052,98.41350069,24749.0732,5709.2877,64.3053,0,317.574,3120.6461,7.0606,4108.5589,24877.0596,1169.7973,156.4696,3061.3682,1208.44,121.5855074,100,65223,1.852781994
Afghanistan,2018,1.544,1,0,3,1,0,5,0,45.24567568,69.4807,98.25029242,24665.3565,5699.1196,64.3053,0,317.574,3120.412,7.0606,4199.2778,24876.8846,1171.2106,157.9433,3105.987825,1208.44,122.3071967,100,65223,1.852781994
Afghanistan,2019,0.91,0,0,6,1,0,7,0,80.1672973,73.4567,98.49122358,24677.6405,5709.2968,64.6076,0,317.574,3122.3345,7.0606,4229.923,24802.2614,1181.8058,162.7457,3149.9656,1208.44,123.0195713,100,65223,1.852781994
Afghanistan,2020,0.498,0,0,5,1,1,7,0,93.95055556,73.416,98.47842649,24681.8527,5708.6065,64.5999,0,317.5895,3122.6542,7.0374,4256.569,24770.0776,1183.8043,162.7261,3194.86485,1208.44,123.7458379,100,65223,1.852781994
Argentina,1992,-0.261,0,0,2,0,0,2,0,-12.86,306.7195,92.39837696,14600.6927,49504.8159,4362.5561,0,685.9211,95921.2133,8501.9618,46863.3095,12508.7,43495.5711,1885.1937,3641.7913,34838.8,100,100,273669,12.73026905
Argentina,1993,0.086,0,0,3,0,1,4,0,-16.86588235,314.4448,92.41669724,14600.952,49506.9671,4362.5406,0,685.9211,95918.1708,8501.8533,46863.0095,12508.5,43496.3822,1877.914,3630.4948,34656.2,99.68980924,99.47587173,273669,12.66354611
Argentina,1994,0.487,0,0,0,0,0,1,1,-15.09529412,322.3676,92.43438042,14601.1822,49508.5708,4362.5019,0,685.9211,95915.2082,8501.8145,46862.8095,12508.5,43497.2814,1870.4623,3619.1983,34473.6,99.37961849,98.95174346,273669,12.59682317
Argentina,1995,0.259,0,1,2,0,1,4,0,-8.558387097,328.5118,92.86045591,14624.6879,49732.1209,4390.3569,0,685.9211,95996.7053,8491.7855,46768.7827,12616,43130.2509,1871.491,3607.9018,34291,99.06942773,98.42761519,273669,12.53010023
Argentina,1996,0.512,0,0,0,0,0,0,0,-7.539411765,334.4176,93.16432477,14626.204,49890.0305,4427.8225,0,685.9211,95967.4843,8485.5541,46788.2315,12639.9,42921.0036,1870.0511,3596.6053,34108.4,98.75923697,97.90348692,273669,12.46337729
Argentina,1997,0.759,0,0,1,0,0,1,0,-7.300909091,339.841,93.63076598,14650.0542,50136.0891,4458.3592,0,685.9211,95974.114,8495.3739,46786.1855,12654.4,42593.7549,1862.6695,3585.3087,33925.8,98.44904347,97.37935865,273669,12.39665435
Argentina,1998,0.351,0,0,1,0,1,2,0,-1.219090909,345.4039,94.34920366,14684.472,50517.805,4498.3127,0,685.9211,96056.427,8542.3028,46789.0437,12669,41978.2568,1869.6653,3574.0122,33743.2,98.13885271,96.85523038,273669,12.32993141
Argentina,1999,0.16,0,0,0,0,0,1,1,-1.782727273,350.7924,95.48118951,14772.4386,51122.6842,4519.6729,0,685.9211,96174.7782,8624.2171,46712.446,12772.3,41044.6193,1856.846,3562.7157,33560.6,97.82866196,96.3311021,273669,12.26320847
Argentina,2000,-0.186,0,1,4,0,2,8,1,-1.986470588,356.5994,95.91096906,14798.9601,51348.5723,4536.8091,0,685.9211,96264.8125,8818.1485,46743.4629,12774.4,40451.2824,1857.7631,3551.4192,33378,97.5184712,95.80697383,273669,12.19648554
Argentina,2001,0.425,0,1,3,0,2,7,1,1.801428571,364.1619,96.7049428,14874.4297,51769.0597,4533.3989,0,685.9211,96284.0523,8973.1261,46707.5274,12804.3,39775.0525,1865.8206,3526.3652,33061.6,96.83051305,94.898791,273669,12.08087142
Argentina,2002,0.278,0,1,1,0,1,3,0,5.240704225,367.9751,97.09285888,14888.1021,51974.3197,4486.8498,0,685.9211,96380.9422,9031.4326,46646.0786,12891.5,39418.0395,1865.4196,3501.3113,32745.2,96.14255765,93.99060817,273669,11.9652573
Argentina,2003,0.635,1,0,2,0,1,4,0,16.96864865,370.37,97.83440397,14936.5385,52371.7183,4461.2114,0,685.9211,96629.0696,9107.6582,46618.3561,12927.5,38772.6174,1755.7787,3476.2573,32428.8,95.4545995,93.08242534,273669,11.84964318
Argentina,2004,0.47,0,1,2,0,0,3,0,15.49444444,372.4044,98.56873577,15009.0572,52765.5305,4362.4786,0,685.9211,97055.5404,9129.7856,46638.8293,12909.8,38047.6577,1659.5857,3451.2033,32112.4,94.76664135,92.17424251,273669,11.73402906
Argentina,2005,0.281,0,0,0,0,1,1,0,18.01151515,382.3793,99.06156873,15050.1296,53021.2436,4324.796,0,685.9211,97284.2917,9148.9215,46644.8486,12913.4,37611.6147,1569.0658,3426.1494,31796,94.07868595,91.26605968,273669,11.61841495
Argentina,2006,0.596,0,0,1,0,0,1,0,19.73611111,396.5335,99.37920855,15060.8625,53178.3435,4250.4074,0,685.9211,97479.3594,9189.123,46687.9363,12918.7,37294.9999,1494.5084,3401.0954,31479.6,93.3907278,90.35787685,273669,11.50280083
Argentina,2007,-0.169,0,1,2,0,0,3,0,19.00945946,408.2289,99.6244665,15077.2359,53298.8538,4238.2082,0,685.9211,97756.5522,9224.1627,46716.6128,12911.3,36878.4608,1441.0977,3376.0414,31163.2,92.70276965,89.44969402,273669,11.38718671
Argentina,2008,0.601,0,0,1,0,0,1,0,22.87673077,417.727,99.69601277,15086.252,53327.9422,4193.5424,0,685.9211,98123.6621,9293.7306,46800.4994,12875.8,36335.1915,1496.45,3350.9874,30846.8,92.0148115,88.54151119,273669,11.27157259
