Year,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
1992,55.6275,49.6625,-27.8,-7.2975,32.3975,1.7850000000000001,-9.355,29.8325,25.14,-18.35,-23.565,44.4425,1.8274999999999997,22.2275,30.0325,28.41,-10.395,42.405,47.1425,-15.26,35.0775,-22.0625,-12.2375,-16.98,14.004999999999999
1993,-44.09235294117647,-13.391176470588235,-1.7735294117647065,-18.451176470588237,-35.85470588235294,-9.998823529411764,-8.047647058823529,-12.618235294117646,-8.521764705882353,-18.83235294117647,-74.32823529411765,-30.140588235294118,-15.368823529411763,-17.301176470588235,-14.703529411764706,-12.742941176470588,-18.65529411764706,-19.502352941176472,-31.314117647058826,-22.72764705882353,-41.198235294117644,-21.302941176470586,-19.679411764705883,-19.51529411764706,-33.861176470588234
1994,-15.201176470588234,-46.64411764705883,-1.0,-14.959999999999999,-11.372352941176473,-20.913529411764703,-9.874117647058824,4.990588235294118,-16.262941176470587,-16.008823529411764,-67.74588235294118,-13.090588235294117,-11.362941176470589,-12.56,-2.509411764705882,-18.584117647058825,-13.046470588235294,1.2064705882352946,-5.090588235294117,-17.86,-36.11588235294118,-17.141176470588235,-16.079411764705885,-14.818235294117647,-7.619999999999999
1995,-19.14548387096774,-0.4968750000000002,3.8375000000000004,-8.19225806451613,26.719375000000003,1.1881249999999994,16.105483870967742,-4.0929032258064515,-1.6193749999999998,-9.985483870967743,-25.6275,-10.057500000000001,-10.345483870967744,-1.501935483870967,-11.404193548387097,3.219375000000001,-10.195806451612903,-1.20125,-17.354375,6.255625,-24.168064516129032,-11.83548387096774,-9.558064516129033,-9.396129032258063,-30.776451612903223
1996,3.1723529411764706,11.837878787878788,-6.553030303030303,-7.121764705882353,-107.40212121212122,3.649393939393939,35.66117647058824,-18.42705882352941,-32.42363636363636,-9.564705882352941,23.222121212121213,12.807272727272727,-4.224705882352942,-7.3217647058823525,-10.556470588235294,-34.57636363636364,-5.246470588235294,7.701212121212122,-23.850303030303028,11.711212121212123,-12.504117647058823,-9.185294117647059,-4.570588235294117,-5.847647058823529,-17.93764705882353
1997,6.6021212121212125,-77.71666666666667,11.501515151515152,-4.366060606060605,-0.8142424242424244,-26.82939393939394,52.618484848484854,-5.013333333333334,-14.853939393939394,-5.368181818181818,-71.23848484848484,10.586060606060608,24.553636363636365,-4.15090909090909,-4.039090909090909,8.98121212121212,2.3057575757575757,7.370909090909091,-6.95030303030303,22.117272727272727,-20.05545454545455,-0.5606060606060607,-3.618181818181818,-1.8406060606060606,-6.154848484848484
1998,10.493030303030302,-16.734848484848484,3.550000000000001,0.5096969696969698,35.164545454545454,-10.547575757575757,12.894242424242425,-3.0254545454545454,-5.778181818181817,3.1015151515151516,0.7736363636363628,2.7254545454545465,-27.434242424242427,6.112727272727273,-8.633030303030303,7.620606060606059,-7.285151515151515,13.26787878787879,4.528484848484848,-0.3615151515151512,-15.076666666666666,-1.0636363636363635,-4.3,-2.7375757575757578,12.466363636363637
1999,6.541515151515153,11.862121212121211,-28.686363636363637,-3.2175757575757578,-6.374848484848484,-5.529393939393939,-25.581515151515152,-8.758787878787878,14.697575757575757,-5.322727272727273,62.055454545454545,2.9890909090909092,-20.349393939393938,11.52787878787879,4.385151515151516,-1.7854545454545447,-6.336666666666666,4.461818181818182,22.107272727272726,-3.6190909090909087,22.0930303030303,-0.23636363636363628,-7.857575757575758,-3.704242424242424,14.145151515151518
2000,19.672352941176467,28.602941176470587,-19.738235294117647,-1.8011764705882352,32.40117647058824,11.865882352941176,-30.388823529411766,-20.86235294117647,7.875294117647059,-3.688235294117647,74.22470588235294,1.8888235294117646,-3.930588235294118,15.098823529411765,4.13470588235294,-7.987058823529412,0.8152941176470588,-14.237647058823528,10.559411764705882,4.022352941176471,22.87235294117647,3.288235294117647,-2.6029411764705883,0.5670588235294118,11.69764705882353
2001,21.79857142857143,25.415714285714284,-22.166666666666668,3.1085714285714285,-5.737222222222222,2.2127777777777777,-39.09111111111111,10.768571428571429,-1.0516666666666667,3.5277777777777777,48.36277777777778,3.7105555555555565,-0.08777777777777779,1.131428571428572,6.5200000000000005,5.377142857142857,7.091111111111111,-18.372941176470587,3.932777777777778,-2.326666666666666,31.498333333333335,8.994444444444445,4.605555555555556,5.903333333333333,25.22714285714286
